window_idx,start,end,n_hours,observed_mean,observed_p90,observed_max,central_mae,prelim_coverage,prelim_mean_width,prelim_mean_interval_score,calibrated_coverage,calibrated_mean_width,calibrated_mean_interval_score,passes_high_o3_filter,distance_to_target_interval_score,coverage_abs_error
0,2024-01-18,2024-01-24 23:00:00,168,29.327380952380953,57.0,74.0,10.089598453131881,0.7599206349206349,31.22793466235376,42.7971961968896,0.8055555555555556,32.97144423245092,42.64278708703534,False,6.320373459823351,0.005555555555555536
1,2024-01-19,2024-01-25 23:00:00,168,24.261904761904763,51.30000000000001,74.0,8.465144476179033,0.7916666666666666,29.657370664550477,37.01364327724434,0.8452380952380952,31.400880234647644,37.220975101310785,False,11.742185445547904,0.04523809523809519
2,2024-01-20,2024-01-26 23:00:00,168,20.202380952380953,50.30000000000001,74.0,7.410664399465093,0.7956349206349206,27.724119975762793,33.007369257943225,0.8630952380952381,29.467629545859957,33.35213061813157,False,15.61102992872712,0.0630952380952381
3,2024-01-21,2024-01-27 23:00:00,168,16.05952380952381,41.30000000000001,63.0,6.63326575383561,0.7956349206349206,26.318767900032235,29.585056313603364,0.8829365079365079,28.0622774701294,30.127425295834094,False,18.835735251024595,0.08293650793650786
4,2024-01-22,2024-01-28 23:00:00,168,16.261904761904763,43.900000000000034,70.0,7.661404778117299,0.7380952380952381,25.677438500469346,32.89845439973718,0.8373015873015873,27.420948070566514,32.94036518470856,False,16.022795362150127,0.03730158730158728
5,2024-01-23,2024-01-29 23:00:00,168,18.404761904761905,54.30000000000001,70.0,7.959535761480768,0.7420634920634921,25.60646676855438,33.787027693966536,0.8432539682539683,27.349976338651544,33.89870514653271,False,15.064455400325976,0.04325396825396821
6,2024-01-24,2024-01-30 23:00:00,168,22.672619047619047,58.0,74.0,8.044797355678135,0.746031746031746,26.022142678287516,35.47039601635316,0.8273809523809523,27.76565224838468,35.55348852012272,False,13.409672026735969,0.027380952380952284
7,2024-02-02,2024-02-08 23:00:00,168,21.761904761904763,50.30000000000001,66.0,9.437556055143412,0.7341269841269841,31.195766128600816,37.60818060612375,0.8373015873015873,32.939275698697976,37.67197167544153,False,11.291188871417155,0.03730158730158728
8,2024-02-03,2024-02-09 23:00:00,168,25.541666666666668,52.0,66.0,9.607915269295392,0.7599206349206349,31.877212263760438,38.306738923554995,0.8452380952380952,33.6207218338576,38.492408192166444,False,10.470752354692245,0.04523809523809519
9,2024-02-04,2024-02-10 23:00:00,168,29.458333333333332,54.30000000000001,67.0,9.511729435020687,0.7837301587301587,32.486743780121834,38.684145139553436,0.8472222222222222,34.230253350219,38.95172402703838,False,10.011436519820307,0.047222222222222165
10,2024-02-05,2024-02-11 23:00:00,168,35.732142857142854,62.0,67.0,8.729582342683914,0.8273809523809523,32.04256667921903,36.9095037683755,0.878968253968254,33.78607624931619,37.52905237041905,False,11.434108176439636,0.07896825396825391
11,2024-02-06,2024-02-12 23:00:00,168,39.82142857142857,62.0,67.0,8.660255840274976,0.8611111111111112,32.70632886497038,37.26680071307715,0.8908730158730159,34.44983843506754,37.998366611843004,False,10.964793935015685,0.09087301587301588
12,2024-02-07,2024-02-13 23:00:00,168,40.773809523809526,62.0,67.0,8.4430304192223,0.873015873015873,33.28879160895807,37.83238167856291,0.8928571428571429,35.03230117905524,38.63653891071874,False,10.326621636139947,0.09285714285714286
13,2024-02-08,2024-02-14 23:00:00,168,38.958333333333336,62.0,67.0,8.882455287775572,0.8293650793650794,32.7822465631264,38.18678499757861,0.8630952380952381,34.52575613322357,38.72995081472698,False,10.233209732131705,0.0630952380952381
14,2024-02-17,2024-02-23 23:00:00,168,40.63690476190476,71.30000000000001,84.0,13.907495438627548,0.6448412698412699,34.21531505036144,58.27346383867649,0.6845238095238095,35.95882462045861,57.1261758742587,False,8.16301532740001,0.11547619047619051
15,2024-02-18,2024-02-24 23:00:00,168,44.267857142857146,72.0,84.0,13.228073589626867,0.6666666666666666,33.73932385292544,56.141722026679474,0.7063492063492064,35.482833423022605,55.18936171497477,False,6.226201168116084,0.09365079365079365
16,2024-02-19,2024-02-25 23:00:00,168,44.81547619047619,72.0,83.0,12.552159605125949,0.6924603174603174,33.63265886249979,54.372223638681206,0.7301587301587301,35.376168432596955,53.6218002165178,False,4.6586396696591095,0.06984126984126993
17,2024-02-20,2024-02-26 23:00:00,168,47.232142857142854,72.0,83.0,11.936468771694331,0.7182539682539683,33.53161015070575,52.58943719236336,0.7440476190476191,35.27511972080293,52.011142241548384,False,3.047981694689696,0.055952380952380976
18,2024-02-21,2024-02-27 23:00:00,168,48.160714285714285,71.30000000000001,83.0,11.182297390401855,0.7698412698412699,33.706223778280204,50.20620335844609,0.7857142857142857,35.44973334837736,50.03312644895275,False,1.0699659020940615,0.014285714285714346
19,2024-02-22,2024-02-28 23:00:00,168,46.61904761904762,68.30000000000001,83.0,10.696375312879113,0.7936507936507936,33.66145736040913,47.83288560649397,0.8154761904761905,35.4049669305063,47.87327676225779,False,1.0898837846009002,0.015476190476190421
20,2024-03-02,2024-03-08 23:00:00,168,55.142857142857146,77.0,86.0,10.37900620335876,0.7777777777777778,33.19654152390751,49.56155937338994,0.7916666666666666,34.94005109400467,49.4162149501028,False,0.45305440324410995,0.008333333333333415
21,2024-03-03,2024-03-09 23:00:00,168,54.75595238095238,75.0,86.0,10.876337096206118,0.7738095238095238,33.62217908178427,50.456938143251286,0.7857142857142857,35.36568865188143,50.25283852853607,False,1.2896779816773787,0.014285714285714346
22,2024-03-04,2024-03-10 23:00:00,168,53.017857142857146,74.30000000000001,86.0,10.816200085001782,0.7837301587301587,33.946547198672974,49.71088072384835,0.8015873015873016,35.69005676877015,49.57711169085947,False,0.6139511440007794,0.0015873015873015817
23,2024-03-05,2024-03-11 23:00:00,168,53.529761904761905,74.0,86.0,10.165002463418068,0.8095238095238095,34.04567613335305,46.78349249096661,0.8293650793650794,35.78918570345021,46.8754948840041,False,2.08766566285459,0.029365079365079372
24,2024-03-06,2024-03-12 23:00:00,168,56.55357142857143,74.0,86.0,9.733318156397928,0.8174603174603174,33.5400419082817,44.418449328518015,0.8373015873015873,35.28355147837887,44.578392643114775,False,4.384767903743914,0.03730158730158728
25,2024-03-07,2024-03-13 23:00:00,168,54.398809523809526,75.30000000000001,86.0,10.085960022035751,0.8134920634920635,33.69491649286554,45.073236759750195,0.8373015873015873,35.438426062962705,45.25165977209749,False,3.7115007747611983,0.03730158730158728
26,2024-03-08,2024-03-14 23:00:00,168,54.42857142857143,78.30000000000001,94.0,10.623992030963922,0.7976190476190477,33.95135827565937,45.68543657661573,0.8234126984126984,35.69486784575654,45.787273637290994,False,3.1758869095676943,0.02341269841269833
27,2024-03-09,2024-03-15 23:00:00,168,53.333333333333336,76.0,94.0,10.702763069101861,0.8174603174603174,34.60343640503278,45.734123890159495,0.8412698412698413,36.34694597512995,46.018075885760155,False,2.9450846610985337,0.041269841269841234
28,2024-03-10,2024-03-16 23:00:00,168,51.083333333333336,81.30000000000001,96.0,11.58409530466623,0.7916666666666666,34.81389623710406,49.54032338392218,0.8174603174603174,36.55740580720122,49.64475018528881,False,0.6815896384301183,0.0174603174603174
29,2024-03-11,2024-03-17 23:00:00,168,49.779761904761905,84.0,96.0,12.690985824824251,0.7817460317460317,35.82936506472429,53.07093099873294,0.8015873015873016,37.57287463482146,53.043936061907765,False,4.080775515049076,0.0015873015873015817
30,2024-03-20,2024-03-26 23:00:00,168,51.11309523809524,74.0,102.0,12.001691073084336,0.746031746031746,35.3862964324761,50.53567441812689,0.7777777777777778,37.12980600257327,50.164228892381296,False,1.2010683455226072,0.022222222222222254
31,2024-03-21,2024-03-27 23:00:00,168,52.93452380952381,73.30000000000001,102.0,11.157491781752906,0.7718253968253969,34.654487783885536,47.1309506220215,0.8075396825396826,36.3979973539827,47.01372578096336,False,1.949434765895326,0.007539682539682513
32,2024-03-22,2024-03-28 23:00:00,168,54.80952380952381,73.30000000000001,102.0,10.745654645145056,0.751984126984127,33.73543662156445,46.48989916110966,0.7896825396825397,35.47894619166162,46.18005387496652,False,2.7831066718921704,0.010317460317460392
33,2024-03-23,2024-03-29 23:00:00,168,60.63095238095238,76.30000000000001,102.0,10.282441000839732,0.746031746031746,32.87794831143872,43.57765545871663,0.7857142857142857,34.62145788153588,43.20885672515122,False,5.754303821707467,0.014285714285714346
34,2024-03-24,2024-03-30 23:00:00,168,64.01190476190476,80.0,93.0,9.373538697234899,0.7619047619047619,31.69689085175736,40.45069911115214,0.8015873015873016,33.44040042185453,40.2553799212514,False,8.707780625607292,0.0015873015873015817
35,2024-04-17,2024-04-23 23:00:00,168,69.60714285714286,85.30000000000001,100.0,8.711628738445464,0.7857142857142857,31.550298165505225,41.83787310941439,0.8115079365079365,33.29380773560239,41.767989153903315,False,7.195171392955373,0.011507936507936467
36,2024-04-18,2024-04-24 23:00:00,168,69.4047619047619,87.30000000000001,100.0,8.671189942550798,0.7896825396825397,31.50690607871372,41.91193737670465,0.8115079365079365,33.250415648810886,41.86416371935593,True,7.098996827502759,0.011507936507936467
37,2024-04-19,2024-04-25 23:00:00,168,69.33333333333333,87.30000000000001,100.0,8.838090577865492,0.7956349206349206,31.58683370717887,42.35423952334884,0.8154761904761905,33.330343277276036,42.306111400616075,True,6.657049146242613,0.015476190476190421
38,2024-04-20,2024-04-26 23:00:00,168,68.26190476190476,85.30000000000001,100.0,8.687709769707197,0.8115079365079365,31.784661385327077,42.503273777884154,0.8253968253968254,33.52817095542424,42.622824531725435,False,6.3403360151332535,0.025396825396825307
39,2024-04-21,2024-04-27 23:00:00,168,69.25,89.0,101.0,9.78154906737666,0.7738095238095238,31.86485221794821,50.301827267250395,0.7857142857142857,33.60836178804538,50.034502886470364,True,1.0713423396116752,0.014285714285714346
40,2024-04-22,2024-04-28 23:00:00,168,68.33333333333333,89.0,101.0,10.384218433241577,0.7440476190476191,32.08696668611729,53.06270087698008,0.7579365079365079,33.83047625621446,52.51613993107524,True,3.552979384216549,0.042063492063492136
41,2024-04-23,2024-04-29 23:00:00,168,67.19047619047619,89.0,101.0,11.295937618764004,0.7123015873015873,32.3785716447292,55.556832204575166,0.7281746031746031,34.12208121482636,54.6687574758322,True,5.705596928973513,0.0718253968253969
42,2024-04-24,2024-04-30 23:00:00,168,66.29166666666667,89.30000000000001,101.0,11.897445918431567,0.7023809523809523,32.77975887692953,57.34433757191526,0.7182539682539683,34.52326844702669,56.34598498830352,True,7.382824441444832,0.08174603174603179
43,2024-04-25,2024-05-01 23:00:00,168,63.666666666666664,87.30000000000001,101.0,12.541035323506083,0.6964285714285714,33.34415632410881,58.58286050525018,0.7182539682539683,35.08766589420597,57.58544680355506,True,8.62228625669637,0.08174603174603179
44,2024-04-26,2024-05-02 23:00:00,168,63.767857142857146,87.30000000000001,101.0,12.557563022529306,0.6944444444444444,33.2903602365581,58.24775797847324,0.7242063492063492,35.03386980665526,57.35352104020283,True,8.39036049334414,0.07579365079365086
45,2024-05-05,2024-05-11 23:00:00,168,64.82142857142857,89.30000000000001,110.0,11.570268993729975,0.753968253968254,33.14816060013624,52.85640604058443,0.7777777777777778,34.891670170233404,52.537659878751136,True,3.574499331892447,0.022222222222222254
46,2024-05-06,2024-05-12 23:00:00,168,62.92261904761905,89.0,110.0,11.962109730393923,0.7579365079365079,33.25455573912055,55.78660993273971,0.7797619047619048,34.998065309217715,55.52542751010676,True,6.562266963248071,0.020238095238095277
47,2024-05-07,2024-05-13 23:00:00,168,62.904761904761905,91.0,110.0,12.437615894897345,0.7242063492063492,33.32196260719591,59.565231509923315,0.7440476190476191,35.065472177293074,58.94778820291713,True,9.984627656058443,0.055952380952380976
48,2024-05-08,2024-05-14 23:00:00,168,63.142857142857146,92.30000000000001,110.0,13.45675807837632,0.6845238095238095,33.74348169264347,66.10659337497526,0.7003968253968254,35.48699126274064,65.09058886360782,True,16.127428316749132,0.0996031746031747
49,2024-05-09,2024-05-15 23:00:00,168,60.714285714285715,92.30000000000001,110.0,13.904527392087706,0.6626984126984127,34.14729747963364,67.74515011568953,0.6765873015873016,35.8908070497308,66.54199765593172,True,17.578837109073035,0.12341269841269842
50,2024-05-10,2024-05-16 23:00:00,168,57.63095238095238,91.0,100.0,12.691130565711406,0.7063492063492064,34.19639448188953,62.25872652088385,0.7202380952380952,35.9399040519867,61.48502161700933,True,12.521861070150642,0.07976190476190481
51,2024-05-19,2024-05-25 23:00:00,168,62.910714285714285,79.0,97.0,8.231451046431717,0.8194444444444444,29.736479277614258,40.09107127092799,0.8412698412698413,31.479988847711425,40.44376728767372,False,8.519393259184966,0.041269841269841234
52,2024-05-20,2024-05-26 23:00:00,168,63.80357142857143,79.30000000000001,97.0,8.40896043618491,0.8134920634920635,29.81592350939249,40.2938786620345,0.8392857142857143,31.55943307948966,40.61552630694701,False,8.347634239911677,0.03928571428571426
53,2024-05-21,2024-05-27 23:00:00,168,63.345238095238095,78.30000000000001,97.0,7.783501989351493,0.8452380952380952,29.834453996642697,38.063636547065876,0.8630952380952381,31.577963566739864,38.5947537984296,False,10.368406748429088,0.0630952380952381
54,2024-05-22,2024-05-28 23:00:00,168,61.36309523809524,78.0,97.0,7.854196100128393,0.8432539682539683,29.6267291082614,38.33763551592723,0.8591269841269841,31.37023867835856,38.8337950712184,False,10.129365475640292,0.05912698412698403
55,2024-05-23,2024-05-29 23:00:00,168,59.01190476190476,76.30000000000001,97.0,7.300743433665966,0.8869047619047619,29.952889397593285,35.98166592740001,0.9027777777777778,31.69639896769045,36.797038696374166,False,12.166121850484522,0.10277777777777775
56,2024-05-24,2024-05-30 23:00:00,168,59.232142857142854,76.30000000000001,97.0,7.9260869762354185,0.8492063492063492,29.973443526413373,37.68692492008824,0.8690476190476191,31.716953096510537,38.18822243016576,False,10.77493811669293,0.06904761904761902
57,2024-06-08,2024-06-14 23:00:00,168,55.20238095238095,85.30000000000001,96.0,10.201553831763592,0.7797619047619048,31.300226468128606,46.29800541827919,0.8095238095238095,33.04373603822577,46.18913824750302,False,2.7740222993556714,0.00952380952380949
58,2024-06-09,2024-06-15 23:00:00,168,51.32738095238095,76.30000000000001,96.0,9.479028881088302,0.8134920634920635,30.971825767599913,43.36202135141823,0.8333333333333334,32.71533533769708,43.54417362792197,False,5.418986918936717,0.033333333333333326
59,2024-06-10,2024-06-16 23:00:00,168,48.208333333333336,72.0,81.0,8.748236283032142,0.8432539682539683,31.09422946295732,40.79051305601845,0.8591269841269841,32.837739033054476,41.1804488340811,False,7.782711712777591,0.05912698412698403
60,2024-06-11,2024-06-17 23:00:00,168,49.142857142857146,73.0,81.0,8.494260169142787,0.8412698412698413,30.673873288548247,39.597119845721835,0.8630952380952381,32.41738285864542,40.033348320176046,False,8.929812226682643,0.0630952380952381
61,2024-06-20,2024-06-26 23:00:00,168,59.482142857142854,79.60000000000002,107.0,9.615971805389542,0.7777777777777778,29.698308095135346,47.6317473058083,0.8055555555555556,31.441817665232513,47.61698048198316,False,1.3461800648755258,0.005555555555555536
62,2024-06-21,2024-06-27 23:00:00,168,59.273809523809526,85.30000000000001,107.0,9.331261019107904,0.7876984126984127,29.886833758372354,44.950903755273444,0.8194444444444444,31.63034332846952,45.03050334326143,False,3.932657203597259,0.019444444444444375
